Precinct ID,County,Precinct Code,Precinct Name,Polling Location,Location Description,Address,City,Zip,Polling Location Contact Info,Authenticating Authority*,Date Authenticated*,Authority Contact Info,Address
1387249,Archuleta,3065904004,3065904004,,,,,,,,,,161 Cedar Dr Pagosa Springs CO 
1387249,Archuleta,3065904004,3065904004,,,,,,,,,,375 Cox Cir Pagosa Springs CO 
1387250,Archuleta,3065904005,3065904005,,,,,,,,,,1013 Starling Cir Pagosa Springs CO 
1387250,Archuleta,3065904005,3065904005,,,,,,,,,,155 Windmill Pl Pagosa Springs CO 
1387251,Archuleta,3065904006,3065904006,,,,,,,,,,335 Martinez Pl Pagosa Springs CO 
1387251,Archuleta,3065904006,3065904006,,,,,,,,,,153 Granada Dr Pagosa Springs CO 
1387252,Archuleta,3065904007,3065904007,,,,,,,,,,440 Caddy Cir Pagosa Springs CO 
1387252,Archuleta,3065904007,3065904007,,,,,,,,,,522 Cloud Cap Ave Pagosa Springs CO 
1387253,Archuleta,3065904008,3065904008,,,,,,,,,,518 S 9th St Pagosa Springs CO 
1387253,Archuleta,3065904008,3065904008,,,,,,,,,,1230 Bristlecone Dr Pagosa Springs CO 
1387502,Broomfield,2233364001,2233364001,,,,,,,,,,11837 Ridge Pkwy Broomfield CO 
1387502,Broomfield,2233364001,2233364001,,,,,,,,,,11843 Ridge Pkwy Broomfield CO 
1387503,Broomfield,2233364002,2233364002,,,,,,,,,,2705 Industrial Ln Broomfield CO 
1387503,Broomfield,2233364002,2233364002,,,,,,,,,,2705 Industrial Ln Broomfield CO 
1387504,Broomfield,2233364003,2233364003,,,,,,,,,,13650 Via Varra Broomfield CO 
1387504,Broomfield,2233364003,2233364003,,,,,,,,,,13593 Via Varra Broomfield CO 
1387505,Broomfield,2233364004,2233364004,,,,,,,,,,2140 W 10th Ave Broomfield CO 
1387505,Broomfield,2233364004,2233364004,,,,,,,,,,2893 Ridge Dr Broomfield CO 
1387506,Broomfield,2233364005,2233364005,,,,,,,,,,780 Burbank St Broomfield CO 
1387506,Broomfield,2233364005,2233364005,,,,,,,,,,635 Alter St Broomfield CO 
1387507,Broomfield,2233364006,2233364006,,,,,,,,,,11449 Central Ct Broomfield CO 
1387507,Broomfield,2233364006,2233364006,,,,,,,,,,8201 Parkland St Broomfield CO 
1387508,Broomfield,2233364007,2233364007,,,,,,,,,,1295 W 4th Ave Broomfield CO 
1387508,Broomfield,2233364007,2233364007,,,,,,,,,,205 Marble St Broomfield CO 
1387509,Broomfield,2233364008,2233364008,,,,,,,,,,68 Garden Ctr Broomfield CO 
1387509,Broomfield,2233364008,2233364008,,,,,,,,,,700 Nickel St Broomfield CO 
1387510,Broomfield,2233364009,2233364009,,,,,,,,,,1080 Opal St Broomfield CO 
1387510,Broomfield,2233364009,2233364009,,,,,,,,,,1148 Opal St Broomfield CO 
1387511,Broomfield,2233364010,2233364010,,,,,,,,,,1636 Iris St Broomfield CO 
1387511,Broomfield,2233364010,2233364010,,,,,,,,,,1731 Daphne St Broomfield CO 
1387512,Broomfield,2233364011,2233364011,,,,,,,,,,500 W Midway Blvd Broomfield CO 
1387512,Broomfield,2233364011,2233364011,,,,,,,,,,390 Coral St Broomfield CO 
1387513,Broomfield,2233364012,2233364012,,,,,,,,,,1395 Abilene Dr Broomfield CO 
1387513,Broomfield,2233364012,2233364012,,,,,,,,,,1724 Daisy Ct Broomfield CO 
1387514,Broomfield,2233364013,2233364013,,,,,,,,,,116 Ponderosa St Broomfield CO 
1387514,Broomfield,2233364013,2233364013,,,,,,,,,,114 Willow Pl N Broomfield CO 
1387515,Broomfield,2233364014,2233364014,,,,,,,,,,325 Garnet St Broomfield CO 
1387515,Broomfield,2233364014,2233364014,,,,,,,,,,285 Coral Way Broomfield CO 
1387516,Broomfield,2233364015,2233364015,,,,,,,,,,375 Aspen Ct Broomfield CO 
1387516,Broomfield,2233364015,2233364015,,,,,,,,,,12451 Sheridan Blvd Broomfield CO 
1387517,Broomfield,2233364016,2233364016,,,,,,,,,,1772 Peregrine Ln Broomfield CO 
1387517,Broomfield,2233364016,2233364016,,,,,,,,,,97 E 14th Pl Broomfield CO 
1387518,Broomfield,2233364017,2233364017,,,,,,,,,,13690 Fall Creek Cir Broomfield CO 
1387518,Broomfield,2233364017,2233364017,,,,,,,,,,5854 Star View Dr Broomfield CO 
1387519,Broomfield,2233364018,2233364018,,,,,,,,,,1126 Highland Park Dr Broomfield CO 
1387519,Broomfield,2233364018,2233364018,,,,,,,,,,961 E 1st Ave Broomfield CO 
1387520,Broomfield,2233364019,2233364019,,,,,,,,,,22 Amesbury St Broomfield CO 
1387520,Broomfield,2233364019,2233364019,,,,,,,,,,12975 Sheridan Blvd Broomfield CO 
1387521,Broomfield,2233364020,2233364020,,,,,,,,,,1800 Birch St Broomfield CO 
1387521,Broomfield,2233364020,2233364020,,,,,,,,,,1371 Bellaire St Broomfield CO 
1387522,Broomfield,2233364021,2233364021,,,,,,,,,,3909 W 127th Ave Broomfield CO 
1387522,Broomfield,2233364021,2233364021,,,,,,,,,,12205 Perry St Broomfield CO 
1387523,Broomfield,2233364022,2233364022,,,,,,,,,,12212 Cherrywood St Broomfield CO 
1387523,Broomfield,2233364022,2233364022,,,,,,,,,,12540 Grove St Broomfield CO 
1387524,Broomfield,2233364023,2233364023,,,,,,,,,,12703 Zenobia St Broomfield CO 
1387524,Broomfield,2233364023,2233364023,,,,,,,,,,12665 Yates St Broomfield CO 
1387525,Broomfield,2233364024,2233364024,,,,,,,,,,4730 Pyramid Cir Broomfield CO 
